varname,count,sum,mean,stddev
CounterJ_main,74,45.4043,0.613571,0.0481285
CounterJ_LOne,74,46.03,0.622027,0.085685
CounterJ_LTwo,74,44.7785,0.605115,0.0667012
CounterK_main,60,36.2224,0.603707,0.0459708
CounterK_LOne,60,37.475,0.624583,0.0721491
CounterK_LTwo,60,34.9699,0.582831,0.0791952
Counter,248,136.883,0.551946,0.0925267
Failed,152,76.1973,0.501298,0.087066
CounterB_main,70,42.3296,0.604708,0.0482101
CounterB_LOne,70,41.8197,0.597424,0.0802344
CounterB_LTwo,70,42.8395,0.611993,0.0509881
CounterC_main,48,28.9004,0.602093,0.0363564
CounterC_LOne,48,29.7998,0.620829,0.0891338
CounterC_LTwo,48,28.0011,0.583356,0.0794418
CounterJ_main,74,45.4043,0.613571,0.0481285
CounterJ_LOne,74,46.03,0.622027,0.085685
CounterJ_LTwo,74,44.7785,0.605115,0.0667012
CounterK_main,59,35.6263,0.603835,0.0451071
CounterK_LOne,59,37.0088,0.627268,0.0764436
CounterK_LTwo,59,34.2438,0.580403,0.0791325
Counter,245,134.886,0.550553,0.0924742
Failed,155,77.8218,0.502076,0.0873814
CounterB_main,70,42.4688,0.606697,0.0470794
CounterB_LOne,70,42.0208,0.600297,0.0780693
CounterB_LTwo,70,42.9168,0.613098,0.0500819
CounterC_main,47,28.3167,0.602483,0.0366415
CounterC_LOne,47,29.0677,0.618461,0.0886595
CounterC_LTwo,47,27.5657,0.586505,0.0772664
CounterJ_main,72,44.2624,0.614755,0.0479069
CounterJ_LOne,72,44.7192,0.6211,0.0862831
CounterJ_LTwo,72,43.8055,0.60841,0.0644746
CounterK_main,59,35.726,0.605526,0.0440958
CounterK_LOne,59,37.0691,0.628289,0.0761148
CounterK_LTwo,59,34.383,0.582763,0.0783956
Counter,245,136.146,0.555698,0.0895677
Failed,155,77.8218,0.502076,0.0873814
CounterB_main,69,41.8515,0.606543,0.0507192
CounterB_LOne,69,41.3909,0.599868,0.0845485
CounterB_LTwo,69,42.3121,0.613218,0.050289
CounterC_main,47,28.3311,0.602789,0.0369131
CounterC_LOne,47,29.0382,0.617834,0.0883355
CounterC_LTwo,47,27.6239,0.587743,0.0775801
CounterJ_main,71,43.6249,0.614435,0.0481704
CounterJ_LOne,71,44.0349,0.620211,0.0865643
CounterJ_LTwo,71,43.2148,0.60866,0.0648984
CounterK_main,58,35.1616,0.606234,0.044092
CounterK_LOne,58,36.4889,0.629119,0.0766719
CounterK_LTwo,58,33.8342,0.583349,0.0787765
Counter,241,132.038,0.547873,0.0931822
Failed,159,79.7894,0.50182,0.0894672
CounterB_main,69,41.8515,0.606543,0.0507192
CounterB_LOne,69,41.3909,0.599868,0.0845485
CounterB_LTwo,69,42.3121,0.613218,0.050289
CounterC_main,47,28.4334,0.604967,0.0365055
CounterC_LOne,47,28.929,0.615511,0.0897443
CounterC_LTwo,47,27.9379,0.594422,0.0743975
CounterJ_main,71,43.6249,0.614435,0.0481704
CounterJ_LOne,71,44.0349,0.620211,0.0865643
CounterJ_LTwo,71,43.2148,0.60866,0.0648984
CounterK_main,58,35.2847,0.608357,0.0444047
CounterK_LOne,58,36.776,0.634069,0.0774942
CounterK_LTwo,58,33.7934,0.582645,0.0797904
Counter,240,133.111,0.55463,0.0885766
Failed,160,80.2609,0.50163,0.0892177
CounterB_main,68,41.2874,0.607168,0.0476916
CounterB_LOne,68,40.9398,0.602055,0.08022
CounterB_LTwo,68,41.635,0.61228,0.0489052
CounterC_main,46,27.8037,0.604428,0.0367192
CounterC_LOne,46,28.2607,0.614364,0.0903869
CounterC_LTwo,46,27.3466,0.594491,0.075218
CounterJ_main,70,43.0635,0.615193,0.0480901
CounterJ_LOne,70,43.5729,0.62247,0.0850538
CounterJ_LTwo,70,42.5541,0.607915,0.0650611
CounterK_main,57,34.7016,0.6088,0.0446697
CounterK_LOne,57,36.0989,0.633314,0.0779676
CounterK_LTwo,57,33.3043,0.584287,0.0795051
Counter,240,132.236,0.550985,0.0904234
Failed,160,80.2609,0.50163,0.0892177
CounterB_main,68,41.2953,0.607283,0.0474073
CounterB_LOne,68,40.9407,0.602069,0.0801895
CounterB_LTwo,68,41.6498,0.612498,0.0486493
CounterC_main,46,27.8576,0.605599,0.0364789
CounterC_LOne,46,28.2501,0.614132,0.0868
CounterC_LTwo,46,27.4651,0.597067,0.0735794
CounterJ_main,70,43.0635,0.615193,0.0480901
CounterJ_LOne,70,43.5729,0.62247,0.0850538
CounterJ_LTwo,70,42.5541,0.607915,0.0650611
CounterK_main,56,34.1739,0.610249,0.043494
CounterK_LOne,56,35.5459,0.634748,0.079756
CounterK_LTwo,56,32.802,0.585749,0.0784542
Counter,239,131.136,0.548685,0.0976389
Failed,161,80.7012,0.50125,0.0890695
CounterB_main,68,41.3552,0.608165,0.0470566
CounterB_LOne,68,41.0889,0.604249,0.0794184
CounterB_LTwo,68,41.6215,0.612081,0.0487291
CounterC_main,46,27.8576,0.605599,0.0364789
CounterC_LOne,46,28.2501,0.614132,0.0868
CounterC_LTwo,46,27.4651,0.597067,0.0735794
CounterJ_main,70,43.0635,0.615193,0.0480901
CounterJ_LOne,70,43.5729,0.62247,0.0850538
CounterJ_LTwo,70,42.5541,0.607915,0.0650611
CounterK_main,56,34.2603,0.611792,0.0415383
CounterK_LOne,56,35.55,0.634822,0.0789067
CounterK_LTwo,56,32.9707,0.588762,0.0756584
Counter,236,129.6,0.549153,0.0961189
Failed,164,81.9961,0.499976,0.0904352
CounterB_main,68,41.3552,0.608165,0.0470566
CounterB_LOne,68,41.0889,0.604249,0.0794184
CounterB_LTwo,68,41.6215,0.612081,0.0487291
CounterC_main,46,27.8576,0.605599,0.0364789
CounterC_LOne,46,28.2501,0.614132,0.0868
CounterC_LTwo,46,27.4651,0.597067,0.0735794
CounterJ_main,70,43.0635,0.615193,0.0480901
CounterJ_LOne,70,43.5729,0.62247,0.0850538
CounterJ_LTwo,70,42.5541,0.607915,0.0650611
CounterK_main,55,33.6112,0.611113,0.0416068
CounterK_LOne,55,34.8347,0.633359,0.0788638
CounterK_LTwo,55,32.3877,0.588868,0.0763515
Counter,233,128.48,0.551416,0.0932479
Failed,167,83.418,0.499509,0.0899752
CounterB_main,67,40.7857,0.608741,0.0470874
CounterB_LOne,67,40.4711,0.604047,0.0783687
CounterB_LTwo,67,41.1002,0.613436,0.0483032
CounterC_main,45,27.2202,0.604893,0.0363257
CounterC_LOne,45,27.5971,0.613269,0.0884483
CounterC_LTwo,45,26.8432,0.596517,0.0727889
CounterJ_main,70,43.0635,0.615193,0.0480901
CounterJ_LOne,70,43.5729,0.62247,0.0850538
CounterJ_LTwo,70,42.5541,0.607915,0.0650611
CounterK_main,54,32.9759,0.610664,0.0413706
CounterK_LOne,54,34.0701,0.630929,0.0819583
CounterK_LTwo,54,31.8816,0.5904,0.0762607
Counter,230,127.244,0.553236,0.0932565
Failed,170,85.0655,0.500385,0.0900959
CounterB_main,67,40.7934,0.608857,0.0471274
CounterB_LOne,67,40.4833,0.604229,0.0784945
CounterB_LTwo,67,41.1036,0.613486,0.0482808
CounterC_main,43,26.0022,0.604703,0.0357971
CounterC_LOne,43,26.4334,0.61473,0.088385
CounterC_LTwo,43,25.5711,0.594676,0.0730061
CounterJ_main,69,42.5361,0.616466,0.0472399
CounterJ_LOne,69,43.1024,0.624673,0.0836415
CounterJ_LTwo,69,41.9698,0.608258,0.0654741
CounterK_main,54,33.0458,0.611959,0.0409355
CounterK_LOne,54,34.3276,0.635696,0.0796417
CounterK_LTwo,54,31.764,0.588222,0.0763535
Counter,230,127.667,0.555074,0.0902352
Failed,170,85.0655,0.500385,0.0900959
CounterB_main,66,40.1291,0.608017,0.0469799
CounterB_LOne,66,39.8172,0.603291,0.0787169
CounterB_LTwo,66,40.441,0.612743,0.0482633
CounterC_main,43,26.0666,0.606201,0.036898
CounterC_LOne,43,26.6461,0.619676,0.0878338
CounterC_LTwo,43,25.4872,0.592725,0.0712023
CounterJ_main,69,42.5361,0.616466,0.0472399
CounterJ_LOne,69,43.1024,0.624673,0.0836415
CounterJ_LTwo,69,41.9698,0.608258,0.0654741
CounterK_main,52,31.8091,0.611714,0.0407208
CounterK_LOne,52,33.0051,0.634714,0.0808432
CounterK_LTwo,52,30.6131,0.588714,0.0741643
Counter,229,127.022,0.554681,0.089337
Failed,171,85.5527,0.500308,0.0898362
