varname,count,sum,mean,stddev
CounterB_LTwo,39,25.5303,0.654623,0.0437863
CounterC_main,30,18.6079,0.620262,0.0192209
CounterC_LOne,30,17.9854,0.599514,0.0629307
CounterC_LTwo,30,19.2303,0.64101,0.0532607
CounterJ_main,42,26.2281,0.624479,0.0344204
CounterJ_LOne,42,25.4304,0.605487,0.0467897
CounterJ_LTwo,42,27.0258,0.643472,0.0528758
CounterK_main,25,15.4026,0.616103,0.0228987
CounterK_LOne,25,14.6325,0.5853,0.0521657
CounterK_LTwo,25,16.1727,0.646906,0.0634245
Counter,134,78.1489,0.583201,0.0723503
Failed,66,33.8561,0.512971,0.069104
CounterB_main,39,24.6759,0.632715,0.0311319
CounterB_LOne,39,23.8576,0.611734,0.0444243
CounterB_LTwo,39,25.4942,0.653697,0.0454291
CounterC_main,30,18.6432,0.62144,0.0195609
CounterC_LOne,30,18.0154,0.600512,0.0632763
CounterC_LTwo,30,19.271,0.642368,0.0529887
CounterJ_main,42,26.3208,0.626685,0.0316265
CounterJ_LOne,42,25.4265,0.605393,0.0469033
CounterJ_LTwo,42,27.215,0.647977,0.0505483
CounterK_main,24,14.7625,0.615106,0.02283
CounterK_LOne,24,14.0256,0.5844,0.0530891
CounterK_LTwo,24,15.4995,0.645812,0.064547
Counter,134,77.651,0.579485,0.0802914
Failed,66,33.8561,0.512971,0.069104
CounterB_main,39,24.6799,0.632819,0.031111
CounterB_LOne,39,23.8657,0.611941,0.04463
CounterB_LTwo,39,25.4942,0.653697,0.0454291
CounterC_main,30,18.6759,0.622532,0.02083
CounterC_LOne,30,18.0041,0.600138,0.0631136
CounterC_LTwo,30,19.3477,0.644925,0.0539205
CounterJ_main,42,26.3208,0.626685,0.0316265
CounterJ_LOne,42,25.4265,0.605393,0.0469033
CounterJ_LTwo,42,27.215,0.647977,0.0505483
CounterK_main,23,14.1635,0.615806,0.0227653
CounterK_LOne,23,13.475,0.585868,0.0528157
CounterK_LTwo,23,14.8521,0.645744,0.0659565
Counter,132,76.957,0.583008,0.0757914
Failed,68,34.8159,0.511998,0.0682992
CounterB_main,39,24.6799,0.632819,0.031111
CounterB_LOne,39,23.8657,0.611941,0.04463
CounterB_LTwo,39,25.4942,0.653697,0.0454291
CounterC_main,30,18.6849,0.62283,0.020508
CounterC_LOne,30,18.0473,0.601577,0.0631258
CounterC_LTwo,30,19.3225,0.644083,0.0546208
CounterJ_main,42,26.3215,0.626703,0.0315894
CounterJ_LOne,42,25.5302,0.607862,0.0442477
CounterJ_LTwo,42,27.1129,0.645544,0.0541794
CounterK_main,23,14.1635,0.615806,0.0227653
CounterK_LOne,23,13.475,0.585868,0.0528157
CounterK_LTwo,23,14.8521,0.645744,0.0659565
Counter,131,76.2461,0.582031,0.0752059
Failed,69,35.4861,0.514291,0.0704208
CounterB_main,39,24.6799,0.632819,0.031111
CounterB_LOne,39,23.8657,0.611941,0.04463
CounterB_LTwo,39,25.4942,0.653697,0.0454291
CounterC_main,29,18.0685,0.623051,0.0208344
CounterC_LOne,29,17.511,0.603827,0.0630064
CounterC_LTwo,29,18.626,0.642276,0.0546668
CounterJ_main,42,26.3215,0.626703,0.0315894
CounterJ_LOne,42,25.5302,0.607862,0.0442477
CounterJ_LTwo,42,27.1129,0.645544,0.0541794
CounterK_main,22,13.5512,0.615964,0.0232881
CounterK_LOne,22,12.9148,0.587036,0.0537536
CounterK_LTwo,22,14.1876,0.644892,0.0673789
Counter,131,76.5297,0.584196,0.0719955
Failed,69,35.4861,0.514291,0.0704208
CounterB_main,39,24.6582,0.632263,0.0315814
CounterB_LOne,39,23.8121,0.610566,0.0434098
CounterB_LTwo,39,25.5044,0.653959,0.0448939
CounterC_main,29,18.0685,0.623051,0.0208344
CounterC_LOne,29,17.511,0.603827,0.0630064
CounterC_LTwo,29,18.626,0.642276,0.0546668
CounterJ_main,41,25.6513,0.625641,0.0312137
CounterJ_LOne,41,24.938,0.608243,0.0447275
CounterJ_LTwo,41,26.3646,0.643039,0.052332
